// Unused singles
CS (92, 980) (234, 0) - 1 5 22 4 20 4 22 4 20 4 22 4 20 4 20 4 24 4 16 2 6 2 16 4 24 4 20 4 20 4 22 4 20 4 22 4 20 4 22 5 1 29 4 12 2 12 4 28 4 14 2 6 2 16 2 4 2 18 4 24 4 18 4 24 5 1 32 1 5 24 4 18 4 24 4 18 2 4 2 16 2 6 2 14 4 28 4 12 2 12 4 29
CS (96, 1188) (236, 0) - 1 5 20 4 24 5 1 33 6 28 6 33 1 5 26 5 1 33 6 28 6 33 1 5 25 1 6 1 31 6 29 1 6 1 26 1 6 1 29 6 32 6 29 1 6 1 26 1 6 1 29 6 31 1 6 1 25 5 1 33 6 28 6 33 1 5 26 5 1 33 6 28 6 33 1 5 24 4 20 5 1 28 1 6 1 27 5 1 34 1 5 27 1 6 1 28
CS (112, 1528) (242, 0) - 1 5 25 1 6 1 32 1 6 1 25 5 1 33 6 30 6 32 6 32 6 30 6 32 6 32 6 30 6 33 1 5 26 5 1 34 1 5 27 1 6 1 29 4 14 4 28 6 34 6 28 4 14 2 6 2 18 4 22 4 20 4 22 4 20 4 22 4 18 2 6 2 14 4 28 6 34 6 28 4 14 4 29 1 6 1 27 5 1 34 1 5 26 5 1 33 6 30 6 32 6 32 6 30 6 32 6 32 6 30 6 33
CS (108, 1224) (246, 0) - 1 5 22 4 20 4 22 4 18 2 4 2 18 4 24 4 16 2 6 2 16 4 26 6 35 1 5 26 4 18 4 22 4 20 2 2 2 20 4 20 4 22 4 20 4 22 4 20 4 20 2 2 2 20 4 22 4 18 4 26 5 1 35 6 26 4 16 2 6 2 16 4 24 4 18 2 4 2 18 4 22 4 20 4 22 5 1 29 6 35 1 5 29 1 5 22 4 20 4 22 5 1 29 5 1 35 6 29
CS (84, 892) (247, 0) - 1 5 26 4 16 4 26 4 14 2 8 2 14 2 6 2 16 4 26 6 35 1 5 26 4 18 4 22 4 20 2 2 2 18 2 4 2 16 2 4 2 18 2 2 2 20 4 22 4 18 4 26 5 1 35 6 26 4 16 2 6 2 14 2 8 2 14 4 26 4 16 4 26 5 1 33 6 30 4 12 4 30 6 33
CS (102, 1088) (248, 0) - 1 5 22 4 20 4 22 5 1 29 4 12 2 10 2 10 2 10 2 10 2 12 4 28 4 12 2 10 2 8 2 16 4 22 4 22 5 1 31 6 30 6 32 6 28 4 14 4 27 1 6 1 27 4 14 4 28 6 32 6 30 6 31 1 5 22 4 22 4 16 2 8 2 10 2 12 4 28 4 12 2 10 2 10 2 10 2 10 2 12 4 29 1 5 22 4 20 4 22 5 1 30
CS (88, 1196) (250, 0) - 1 5 28 5 1 35 6 28 6 34 6 30 6 32 6 30 6 34 6 28 5 1 35 6 28 6 34 6 28 4 16 4 24 4 18 2 4 2 16 2 6 2 14 2 8 2 12 2 8 2 14 2 6 2 16 2 4 2 18 4 24 4 16 4 28 6 34 6 28 6 35 1 5 28 6 34 6 30 6 32 6 30 6 34 6 28 6 35
CS (106, 1288) (260, 0) - 1 5 24 4 20 4 20 4 24 5 1 33 6 28 4 16 4 24 4 20 4 20 4 22 4 20 4 24 5 1 34 1 5 28 6 35 1 5 28 4 14 4 28 4 14 4 28 4 12 2 12 4 28 4 14 2 6 2 16 2 6 2 14 4 28 4 12 2 12 4 28 4 14 4 28 4 14 4 28 5 1 35 6 28 5 1 34 1 5 24 4 20 4 22 4 20 4 20 4 24 4 16 4 28 6 33
CS (80, 1196) (261, 0) - 1 5 28 5 1 35 6 28 6 34 6 30 6 32 6 30 6 34 6 28 5 1 35 6 28 6 34 6 28 4 16 4 24 4 18 2 4 2 18 4 22 4 20 4 22 4 18 2 4 2 18 4 24 4 16 4 28 6 34 6 28 6 35 1 5 28 6 34 6 30 6 32 6 30 6 34 6 28 6 35
CS (84, 1076) (262, 0) - 1 5 22 4 18 2 4 2 18 4 20 4 24 5 1 33 6 28 6 33 1 5 25 1 6 1 31 6 30 6 31 1 5 24 5 1 31 6 30 6 31 1 6 1 25 5 1 33 6 28 6 33 1 5 24 4 20 4 18 2 4 2 18 4 22 5 1 29 4 12 4 30 6 30 6 32 6 30 6 30 4 12 4 29
